Card Name,Pros,Cons,Card Page Link,Apply Link,Image URL,Annual Fee,Best For,USP,Joining Fees,Renewal Fees,Rewards and Benefits
AU Bank LIT Credit Card,,,https://cardinsider.com/au-bank/lit-credit-card/,https://cardinsider.com/go/aubank,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E","['Movies', 'Travel', 'Dining', 'Fuel', 'Shopping']",Reward TypeReward Points,N/A,Nil,Nil,"{'Movie & Dining': '3 Months of Complimentary Membership of Zee5 and Amazon Prime (Paid Feature)', 'Rewards Rate': '1 Reward Point/₹100 Spent. 10X or 5X Accelerated Reward Points and Additional Cashbacks (Paid Features)', 'Reward Redemption': 'Redeem Reward Points for exciting discounts and offers.', 'Travel': 'N/A', 'Domestic Lounge Access': '1 Complimentary Airport Lounge Access Every Quarter (Paid Feature)', 'International Lounge Access': 'N/A', 'Golf': 'NA', 'Insurance Benefits': 'NA'}"
IndusInd Legend Credit Card,"This is a lifetime free credit, which comes with no annual charges.",There is only one BOGO offer per month with this card. There are no dining offers provided along with this credit card.,https://cardinsider.com/indusind-bank/indusind-legend-credit-card/,https://cardinsider.com/go/indusind,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",['Shopping'],Reward TypeReward Points,N/A,Nil,Nil,"{'Movie & Dining': 'BOGO on 1 movie ticket every month up to Rs. 200.', 'Rewards Rate': '1 Reward Point per Rs. 100 spends on weekdays and 2 Reward Points for every Rs. 100 you spend on weekends.', 'Reward Redemption': '1 RP = ₹0.50 for Redemption Against Cash Credit', 'Travel': 'N/A', 'Domestic Lounge Access': 'N/A', 'International Lounge Access': 'N/A', 'Golf': 'N/A', 'Insurance Benefits': 'Get a Complimentary Air Accidental cover of Rs 25 Lakhs. Complimentary Lost baggage Insurance of Rs 1 lakh and several other travel insurance covers.'}"
Axis Bank Atlas Credit Card,"You will receive 2,500 EDGE Miles as a welcome bonus, which can be redeemed for travel and other benefits later.","The Axis Bank Atlas Credit Card doesn’t include any golf benefits. Unfortunately, this credit card does not offer any insurance benefits.",https://cardinsider.com/axis-bank/axis-bank-atlas-credit-card/,https://cardinsider.com/go/axisbank,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",['Travel'],Reward TypeReward Points,"2,500 Edge Miles on Completing 1 Transaction Within 30 Days of Card Issuance","Rs. 5,000 + GST","Rs. 5,000 + GST","{'Movie & Dining': 'Discounts of up to 25% up to Rs. 800 at partner restaurants via EazyDiner. Offer valid twice per month on a minimum order value of Rs. 2000.', 'Rewards Rate': '5 Edge Miles for every Rs. 100 spent on travel spends, 2 Edge Miles for every Rs. 100 spent on all other transactions excluding spends on Hotels, Airlines, and TRAVEL EDGE Portal', 'Reward Redemption': 'Edge Miles can be transferred to international and domestic loyalty program partners for airlines and hotels.', 'Travel': 'Accelerated EDGE Mile Earning', 'Domestic Lounge Access': '8 per annum with Silver Tier, 12 per annum with Gold Tier and 18 per annum with Platinum Tier', 'International Lounge Access': '4 per annum under Silver Tier, 6 per annum under Gold Tier and 12 per annum under Platinum Tier', 'Golf': 'N/A', 'Insurance Benefits': 'N/A'}"
IDFC FIRST Select Credit Card,This is a lifetime free credit card without any joining or renewal charges.,There isn’t any complimentary international lounge access provided with this card.,https://cardinsider.com/idfc-first-bank/idfc-first-select-credit-card/,https://cardinsider.com/go/idfcbank,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E","['Travel', 'Shopping']",Reward TypeReward Points,"Vouchers worth ₹500 on spends of ₹5,000 within 30 days of card issuance. Also, get a 5% cashback on EMI transactions (up to Rs. 1,000) within 30 days of card issuance.",Nil,Nil,"{'Movie & Dining': '“Buy One Get One” offer on movie tickets up to ₹125 while booking with the District app & up to 20% discount on dining at over 1500 restaurants.', 'Rewards Rate': '3 Reward Points/₹150 Upto Spends of ₹20,000 and 10 Reward Points/₹150 on Spends Above ₹20,000', 'Reward Redemption': '1 Reward point = ₹0.25 for redemption. These reward points can be redeemed at the Poshvine reward portal or at exclusive merchant stores.', 'Travel': 'Complimentary 4 Railway Lounge Access Per Quarter', 'Domestic Lounge Access': '2 Complimentary Domestic Airport Lounge Access Every Quarter (8 Each Year)', 'International Lounge Access': 'NA', 'Golf': 'NA', 'Insurance Benefits': 'You get an air accident cover worth ₹1 crore, personal accident cover worth upto ₹5,00,000 and a travel insurance cover worth up to ₹22,500'}"
BPCL SBI Octane Credit Card,"Welcome benefit of 6,000 Reward Points worth Rs 1500 Enjoy 10 Reward Points on spend of Rs. 100 at dining, movies and departmental stores.",There is a reward redemption fee of Rs. 99. No insurance benefits are included with this account.,https://cardinsider.com/sbi-card/bpcl-sbi-card-octane/,https://cardinsider.com/go/sbibpcloctane,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E","['Travel', 'Fuel', 'Food']",Reward TypeReward Points,"6,000 Bonus Reward Points Worth ₹1,500","Rs. 1,499 + GST","Rs. 1,499 + GST","{'Movie & Dining': 'Accelerated 10 Reward Points for Every ₹100 Spent on Dining and Movie Tickets.', 'Rewards Rate': '25 Reward Points/₹100 Spent at BPCL Fuel Stations (Reward Rate = 7.25%), 10 RPs/₹100 Spent on Groceries, Departmental Stores, and Movie Tickets, and 1 Reward Point for Every ₹100 Spent on All Other Expenditures', 'Reward Redemption': 'Redeem RPs for Fuel at BPCL Stations, Against Statement, or for Products and Vouchers With SBI', 'Travel': 'Complimentary domestic airport lounge visits', 'Domestic Lounge Access': '4 complimentary access to domestic lounges every year (1 per quarter).', 'International Lounge Access': 'N/A', 'Golf': 'N/A', 'Insurance Benefits': 'Fraud Liability Cover of ₹1 Lakh'}"
American Express Platinum Travel Credit Card,One can indiscriminately spend with this card as all transactions will count towards the milestone benefit offer with this card.,"Although this card offers a good reward rate, the overall benefit depends on the ability to spend ₹4 lakh in a year. Failing to meet this spending requirement will reduce the reward rate. The AmEx Platinum Travel Card includes a Priority Pass membership; however, it does not provide complimentary international lounge access. Any visits to lounges will incur a charge of $35.",https://cardinsider.com/american-express/american-express-platinum-travel-credit-card/,,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E","['Travel', 'Shopping']",Reward TypeReward Points,"10,000 Membership Rewards Points","₹5,000 + GST","₹5,000 + GST","{'Movie & Dining': '20% Discount at Select Restaurants', 'Rewards Rate': '1 Membership Rewards Points/₹50 spent', 'Reward Redemption': 'Membership Rewards Points can be redeemed for online shopping vouchers, INSTA rewards for offline purchases, and transfers to various flight and hotel loyalty programs', 'Travel': 'Complimentary Airport Lounge Access and Priority Pass', 'Domestic Lounge Access': '2 Domestic Lounge Access Every Quarter (8 Each Year)', 'International Lounge Access': 'Access With Free Priority Pass Membership Worth USD 99', 'Golf': 'N/A', 'Insurance Benefits': 'N/A'}"
HDFC Bank INFINIA Metal Credit Card,Unlimited lounge access at domestic and select foreign airports. Unlimited complimentary golf games at premier golf courses.,"Infinia Credit Card is a highly rewarding card that benefits everyone. Although it is considered to be the ultimate card, only those who fulfill the strict eligibility criteria can get it. This can be termed the only drawback of this card.",https://cardinsider.com/hdfc-bank/hdfc-bank-infinia-credit-card/,https://cardinsider.com/go/hdfcbank,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E","['Travel', 'Dining', 'Shopping']",Reward TypeReward Points,"Welcome bonus of 12,500 Reward Points and complimentary Club Marriott membership for the first year offering 20% discounts on dining and stay in the Asia-Pacific region.","₹12,500 + GST","₹12,500 + GST","{'Movie & Dining': '1 + 1 Complimentary Buffet at ITC Hotels and Up to ₹750 With Swiggy Dineout', 'Rewards Rate': '5 Reward Points on every retail spend of Rs. 150,\xa0 reward rate of up to 3.3%', 'Reward Redemption': 'RPs can be redeemed for flight and hotel bookings via SmartBuy (1 RP = Re. 1), Airmiles through net banking (1 RP = 1 Airmile), products and vouchers via net banking or SmartBuy (1 RP = Rs. 0.50), Apple and Tanishq vouchers (1 RP = Re. 1) cashback (1 RP = Rs. 0.30)', 'Travel': 'Complimentary Priority Pass Membership', 'Domestic Lounge Access': 'Unlimited Free Domestic Airport Lounge Access', 'International Lounge Access': 'Unlimited Complimentary International Lounge Access for Primary and Add-On Cardholders Across the Globe with a Priority Pass', 'Golf': 'Unlimited complimentary golf games at leading golf courses across India and abroad. Unlimited golf coaching at multiple golf courses across India', 'Insurance Benefits': 'Insurance cover worth Rs. 3 crores against accidental air death, a cover worth Rs. 50 lakh against medical emergencies during international air travel, and credit shield cover worth Rs. 9 lakh'}"
BOBCARD Tiara Credit Card,"Although this card has a Forex markup charge of 2%, it is still more competitive than many others in the market, as most credit cards typically charge 3% to 3.5% in Forex markup fees for international transactions. Additionally, the Tiara Credit Card offers accelerated reward points for international spends, making it an excellent choice for those who frequently travel abroad.","The Tiara Credit Card offers two attractive benefits for those who travel abroad: accelerated reward points and low Forex charges. But in terms of international airport lounge visits, this card offers none.",https://cardinsider.com/bank-of-baroda/bobcard-tiara-credit-card/,https://cardinsider.com/go/bankofbaroda,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E","['Travel', 'Shopping', 'Food']",Reward TypeReward Points,"Free Swiggy One (3 Months), FitPass Pro, Amazon Prime/Disney Hotstar and Gaana Plus Memberships","₹2,499 + GST","₹2,499 + GST","{'Movie & Dining': 'Free Swiggy One Membership, Quarterly Discounts on Big Basket, and Upto ₹250 Off on Movie Ticket Bookings With BookMyShow', 'Rewards Rate': '15 RPs/₹100 Spent on Travel, Dining, and International Spends. 3 RPs/₹100 on All Other Eligible Spends', 'Reward Redemption': 'Redeem Reward Points for Cashback (1 Reward Point = ₹0.25)', 'Travel': 'Low Forex Charge', 'Domestic Lounge Access': 'Unlimited Domestic Airport Lounge Access on Spends of ₹40,000 in the Previous Quarter', 'International Lounge Access': 'N/A', 'Golf': 'N/A', 'Insurance Benefits': 'Zero Liability on Lost Card'}"
MakeMyTrip ICICI Bank Credit Card,,,https://cardinsider.com/icici-bank/makemytrip-icici-bank-credit-card/,https://cardinsider.com/go/icicibank,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",['Travel'],Reward TypeReward Points,"₹1,000 MMT Voucher and MMTBLACK Gold Tier Membership",₹999 + GST,₹999 + GST,"{'Movie & Dining': 'BOGO on Movie Ticket Bookings (Twice Each Month)', 'Rewards Rate': '6 myCash/₹200 on Hotel Spends, 3 myCash/₹200 on Flight, Bus, and Cab Bookings, and 1 myCash/₹200 on Other Spends', 'Reward Redemption': '1 myCash = ₹1', 'Travel': 'High Rewards on Travel Spends', 'Domestic Lounge Access': 'Eight Complimentary Visits Each Year', 'International Lounge Access': 'One Free Visit Each Year', 'Golf': 'N/A', 'Insurance Benefits': 'N/A'}"
HSBC Live+ Credit Card – Cashback on Groceries,,,https://cardinsider.com/hsbc-bank/hsbc-cashback-credit-card/,https://cardinsider.com/go/hsbc,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E","['Shopping', 'Food']",Reward TypeCashback,"₹1,000 Cashback on Spending ₹20,000 in the First 30 Days",Rs. 999 + GST,Rs. 999 + GST,"{'Movie & Dining': 'Buy 2 Get 1 Free offer on movies on Saturdays & Up to 15% discount at over 1,000 restaurants across major cities in India.', 'Rewards Rate': '10% Cashback on Dining, Food, and Grocery Spends. 1.5% On All Other Eligible Spends', 'Reward Redemption': ""The cashback is credited back within 45 days of the card's statement date."", 'Travel': 'NA', 'Domestic Lounge Access': '4 complimentary domestic lounge access per annum (one each quarter)', 'International Lounge Access': 'NA', 'Golf': 'NA', 'Insurance Benefits': 'Insurance cover worth Rs. 3,00,000 against misuse of the card from up to 24 hours prior to the time of reporting the loss of card.'}"
